timestamp,src_ip,dst_ip,protocol,src_port,dst_port,bytes,status,label
2024-01-15 10:00:01,203.0.113.55,192.168.1.1,TCP,12345,21,64,error,probe
2024-01-15 10:00:01,203.0.113.55,192.168.1.1,TCP,12346,22,64,error,probe
2024-01-15 10:00:01,203.0.113.55,192.168.1.1,TCP,12347,23,64,error,probe
2024-01-15 10:00:02,203.0.113.55,192.168.1.1,TCP,12348,25,64,error,probe
2024-01-15 10:00:02,203.0.113.55,192.168.1.1,TCP,12349,80,64,warning,probe
2024-01-15 10:00:02,203.0.113.55,192.168.1.1,TCP,12350,443,64,warning,probe
2024-01-15 10:00:03,203.0.113.55,192.168.1.1,TCP,12351,3306,64,error,probe
2024-01-15 10:00:03,203.0.113.55,192.168.1.1,TCP,12352,5432,64,error,probe
2024-01-15 10:00:03,203.0.113.55,192.168.1.1,TCP,12353,8080,64,warning,probe
2024-01-15 10:00:04,203.0.113.55,192.168.1.2,TCP,12354,21,64,error,probe
2024-01-15 10:00:04,203.0.113.55,192.168.1.2,TCP,12355,22,64,error,probe
2024-01-15 10:00:04,203.0.113.55,192.168.1.2,TCP,12356,80,64,warning,probe
2024-01-15 10:00:05,203.0.113.55,192.168.1.3,TCP,12357,22,64,error,probe
2024-01-15 10:00:05,203.0.113.55,192.168.1.3,TCP,12358,3389,64,error,probe
2024-01-15 10:00:05,203.0.113.55,192.168.1.4,TCP,12359,22,64,error,probe
